,K_min,K_max,J_min,J_max,J_min_up,J_max_up
0,0,0,1,1,0,0
1,1,1,1,1,0,0
2,2,2,1,1,0,0
3,3,3,1,1,0,0
4,4,4,1,1,0,0
5,5,5,1,1,0,0
6,6,6,1,1,0,0
7,7,7,1,1,0,0
8,8,8,1,1,0,0
9,9,9,1,1,0,0
10,10,10,1,1,0,0
11,11,11,1,1,0,0
12,12,12,1,1,0,0
13,13,13,1,1,0,0
14,14,14,1,1,0,0
15,15,15,1,1,0,0
16,16,16,1,1,0,0
17,17,17,1,1,0,0
18,18,18,1,1,0,0
19,0,0,2,2,1,1
20,1,1,2,2,1,1
21,2,2,2,2,1,1
22,3,3,2,2,1,1
23,4,4,2,2,1,1
24,5,5,2,2,1,1
25,6,6,2,2,1,1
26,7,7,2,2,1,1
27,8,8,2,2,1,1
28,9,9,2,2,1,1
29,10,10,2,2,1,1
30,11,11,2,2,1,1
31,12,12,2,2,1,1
32,13,13,2,2,1,1
33,14,14,2,2,1,1
34,15,15,2,2,1,1
35,16,16,2,2,1,1
36,17,17,2,2,1,1
37,18,18,2,2,1,1
38,0,0,3,3,2,2
39,1,1,3,3,2,2
40,2,2,3,3,2,2
41,3,3,3,3,2,2
42,4,4,3,3,2,2
43,5,5,3,3,2,2
44,6,6,3,3,2,2
45,7,7,3,3,2,2
46,8,8,3,3,2,2
47,9,9,3,3,2,2
48,10,10,3,3,2,2
49,11,11,3,3,2,2
50,12,12,3,3,2,2
51,13,13,3,3,2,2
52,14,14,3,3,2,2
53,15,15,3,3,2,2
54,16,16,3,3,2,2
55,17,17,3,3,2,2
56,18,18,3,3,2,2
57,0,0,4,4,3,3
58,1,1,4,4,3,3
59,2,2,4,4,3,3
60,3,3,4,4,3,3
61,4,4,4,4,3,3
62,5,5,4,4,3,3
63,6,6,4,4,3,3
64,7,7,4,4,3,3
65,8,8,4,4,3,3
66,9,9,4,4,3,3
67,10,10,4,4,3,3
68,11,11,4,4,3,3
69,12,12,4,4,3,3
70,13,13,4,4,3,3
71,14,14,4,4,3,3
72,15,15,4,4,3,3
73,16,16,4,4,3,3
74,17,17,4,4,3,3
75,18,18,4,4,3,3
76,0,0,5,5,4,4
77,1,1,5,5,4,4
78,2,2,5,5,4,4
79,3,3,5,5,4,4
80,4,4,5,5,4,4
81,5,5,5,5,4,4
82,6,6,5,5,4,4
83,7,7,5,5,4,4
84,8,8,5,5,4,4
85,9,9,5,5,4,4
86,10,10,5,5,4,4
87,11,11,5,5,4,4
88,12,12,5,5,4,4
89,13,13,5,5,4,4
90,14,14,5,5,4,4
91,15,15,5,5,4,4
92,16,16,5,5,4,4
93,17,17,5,5,4,4
94,18,18,5,5,4,4
95,0,0,6,6,5,5
96,1,1,6,6,5,5
97,2,2,6,6,5,5
98,3,3,6,6,5,5
99,4,4,6,6,5,5
100,5,5,6,6,5,5
101,6,6,6,6,5,5
102,7,7,6,6,5,5
103,8,8,6,6,5,5
104,9,9,6,6,5,5
105,10,10,6,6,5,5
106,11,11,6,6,5,5
107,12,12,6,6,5,5
108,13,13,6,6,5,5
109,14,14,6,6,5,5
110,15,15,6,6,5,5
111,16,16,6,6,5,5
112,17,17,6,6,5,5
113,18,18,6,6,5,5
114,0,0,7,7,6,6
115,1,1,7,7,6,6
116,2,2,7,7,6,6
117,3,3,7,7,6,6
118,4,4,7,7,6,6
119,5,5,7,7,6,6
120,6,6,7,7,6,6
121,7,7,7,7,6,6
122,8,8,7,7,6,6
123,9,9,7,7,6,6
124,10,10,7,7,6,6
125,11,11,7,7,6,6
126,12,12,7,7,6,6
127,13,13,7,7,6,6
128,14,14,7,7,6,6
129,15,15,7,7,6,6
130,16,16,7,7,6,6
131,17,17,7,7,6,6
132,18,18,7,7,6,6
133,0,0,8,8,7,7
134,1,1,8,8,7,7
135,2,2,8,8,7,7
136,3,3,8,8,7,7
137,4,4,8,8,7,7
138,5,5,8,8,7,7
139,6,6,8,8,7,7
140,7,7,8,8,7,7
141,8,8,8,8,7,7
142,9,9,8,8,7,7
143,10,10,8,8,7,7
144,11,11,8,8,7,7
145,12,12,8,8,7,7
146,13,13,8,8,7,7
147,14,14,8,8,7,7
148,15,15,8,8,7,7
149,16,16,8,8,7,7
150,17,17,8,8,7,7
151,18,18,8,8,7,7
152,0,0,9,9,8,8
153,1,1,9,9,8,8
154,2,2,9,9,8,8
155,3,3,9,9,8,8
156,4,4,9,9,8,8
157,5,5,9,9,8,8
158,6,6,9,9,8,8
159,7,7,9,9,8,8
160,8,8,9,9,8,8
161,9,9,9,9,8,8
162,10,10,9,9,8,8
163,11,11,9,9,8,8
164,12,12,9,9,8,8
165,13,13,9,9,8,8
166,14,14,9,9,8,8
167,15,15,9,9,8,8
168,16,16,9,9,8,8
169,17,17,9,9,8,8
170,18,18,9,9,8,8
171,0,0,10,10,9,9
172,1,1,10,10,9,9
173,2,2,10,10,9,9
174,3,3,10,10,9,9
175,4,4,10,10,9,9
176,5,5,10,10,9,9
177,6,6,10,10,9,9
178,7,7,10,10,9,9
179,8,8,10,10,9,9
180,9,9,10,10,9,9
181,10,10,10,10,9,9
182,11,11,10,10,9,9
183,12,12,10,10,9,9
184,13,13,10,10,9,9
185,14,14,10,10,9,9
186,15,15,10,10,9,9
187,16,16,10,10,9,9
188,17,17,10,10,9,9
189,18,18,10,10,9,9
190,0,0,11,11,10,10
191,1,1,11,11,10,10
192,2,2,11,11,10,10
193,3,3,11,11,10,10
194,4,4,11,11,10,10
195,5,5,11,11,10,10
196,6,6,11,11,10,10
197,7,7,11,11,10,10
198,8,8,11,11,10,10
199,9,9,11,11,10,10
200,10,10,11,11,10,10
201,11,11,11,11,10,10
202,12,12,11,11,10,10
203,13,13,11,11,10,10
204,14,14,11,11,10,10
205,15,15,11,11,10,10
206,16,16,11,11,10,10
207,17,17,11,11,10,10
208,18,18,11,11,10,10
209,0,0,12,12,11,11
210,1,1,12,12,11,11
211,2,2,12,12,11,11
212,3,3,12,12,11,11
213,4,4,12,12,11,11
214,5,5,12,12,11,11
215,6,6,12,12,11,11
216,7,7,12,12,11,11
217,8,8,12,12,11,11
218,9,9,12,12,11,11
219,10,10,12,12,11,11
220,11,11,12,12,11,11
221,12,12,12,12,11,11
222,13,13,12,12,11,11
223,14,14,12,12,11,11
224,15,15,12,12,11,11
225,16,16,12,12,11,11
226,17,17,12,12,11,11
227,18,18,12,12,11,11
228,0,0,13,13,12,12
229,1,1,13,13,12,12
230,2,2,13,13,12,12
231,3,3,13,13,12,12
232,4,4,13,13,12,12
233,5,5,13,13,12,12
234,6,6,13,13,12,12
235,7,7,13,13,12,12
236,8,8,13,13,12,12
237,9,9,13,13,12,12
238,10,10,13,13,12,12
239,11,11,13,13,12,12
240,12,12,13,13,12,12
241,13,13,13,13,12,12
242,14,14,13,13,12,12
243,15,15,13,13,12,12
244,16,16,13,13,12,12
245,17,17,13,13,12,12
246,18,18,13,13,12,12
247,0,0,14,14,13,13
248,1,1,14,14,13,13
249,2,2,14,14,13,13
250,3,3,14,14,13,13
251,4,4,14,14,13,13
252,5,5,14,14,13,13
253,6,6,14,14,13,13
254,7,7,14,14,13,13
255,8,8,14,14,13,13
256,9,9,14,14,13,13
257,10,10,14,14,13,13
258,11,11,14,14,13,13
259,12,12,14,14,13,13
260,13,13,14,14,13,13
261,14,14,14,14,13,13
262,15,15,14,14,13,13
263,16,16,14,14,13,13
264,17,17,14,14,13,13
265,18,18,14,14,13,13
266,0,0,15,15,14,14
267,1,1,15,15,14,14
268,2,2,15,15,14,14
269,3,3,15,15,14,14
270,4,4,15,15,14,14
271,5,5,15,15,14,14
272,6,6,15,15,14,14
273,7,7,15,15,14,14
274,8,8,15,15,14,14
275,9,9,15,15,14,14
276,10,10,15,15,14,14
277,11,11,15,15,14,14
278,12,12,15,15,14,14
279,13,13,15,15,14,14
280,14,14,15,15,14,14
281,15,15,15,15,14,14
282,16,16,15,15,14,14
283,17,17,15,15,14,14
284,18,18,15,15,14,14
285,0,0,16,16,15,15
286,1,1,16,16,15,15
287,2,2,16,16,15,15
288,3,3,16,16,15,15
289,4,4,16,16,15,15
290,5,5,16,16,15,15
291,6,6,16,16,15,15
292,7,7,16,16,15,15
293,8,8,16,16,15,15
294,9,9,16,16,15,15
295,10,10,16,16,15,15
296,11,11,16,16,15,15
297,12,12,16,16,15,15
298,13,13,16,16,15,15
299,14,14,16,16,15,15
300,15,15,16,16,15,15
301,16,16,16,16,15,15
302,17,17,16,16,15,15
303,18,18,16,16,15,15
304,0,0,17,17,16,16
305,1,1,17,17,16,16
306,2,2,17,17,16,16
