,K_min,K_max,J_min,J_max,K_min_right,K_max_right
0,0,0,0,0,1,1
1,1,1,0,0,2,2
2,2,2,0,0,3,3
3,3,3,0,0,4,4
4,4,4,0,0,5,5
5,5,5,0,0,6,6
6,6,6,0,0,7,7
7,7,7,0,0,8,8
8,8,8,0,0,9,9
9,9,9,0,0,10,10
10,10,10,0,0,11,11
11,11,11,0,0,12,12
12,12,12,0,0,13,13
13,13,13,0,0,14,14
14,14,14,0,0,15,15
15,15,15,0,0,16,16
16,16,16,0,0,17,17
17,17,17,0,0,18,18
18,0,0,1,1,1,1
19,1,1,1,1,2,2
20,2,2,1,1,3,3
21,3,3,1,1,4,4
22,4,4,1,1,5,5
23,5,5,1,1,6,6
24,6,6,1,1,7,7
25,7,7,1,1,8,8
26,8,8,1,1,9,9
27,9,9,1,1,10,10
28,10,10,1,1,11,11
29,11,11,1,1,12,12
30,12,12,1,1,13,13
31,13,13,1,1,14,14
32,14,14,1,1,15,15
33,15,15,1,1,16,16
34,16,16,1,1,17,17
35,17,17,1,1,18,18
36,0,0,2,2,1,1
37,1,1,2,2,2,2
38,2,2,2,2,3,3
39,3,3,2,2,4,4
40,4,4,2,2,5,5
41,5,5,2,2,6,6
42,6,6,2,2,7,7
43,7,7,2,2,8,8
44,8,8,2,2,9,9
45,9,9,2,2,10,10
46,10,10,2,2,11,11
47,11,11,2,2,12,12
48,12,12,2,2,13,13
49,13,13,2,2,14,14
50,14,14,2,2,15,15
51,15,15,2,2,16,16
52,16,16,2,2,17,17
53,17,17,2,2,18,18
54,0,0,3,3,1,1
55,1,1,3,3,2,2
56,2,2,3,3,3,3
57,3,3,3,3,4,4
58,4,4,3,3,5,5
59,5,5,3,3,6,6
60,6,6,3,3,7,7
61,7,7,3,3,8,8
62,8,8,3,3,9,9
63,9,9,3,3,10,10
64,10,10,3,3,11,11
65,11,11,3,3,12,12
66,12,12,3,3,13,13
67,13,13,3,3,14,14
68,14,14,3,3,15,15
69,15,15,3,3,16,16
70,16,16,3,3,17,17
71,17,17,3,3,18,18
72,0,0,4,4,1,1
73,1,1,4,4,2,2
74,2,2,4,4,3,3
75,3,3,4,4,4,4
76,4,4,4,4,5,5
77,5,5,4,4,6,6
78,6,6,4,4,7,7
79,7,7,4,4,8,8
80,8,8,4,4,9,9
81,9,9,4,4,10,10
82,10,10,4,4,11,11
83,11,11,4,4,12,12
84,12,12,4,4,13,13
85,13,13,4,4,14,14
86,14,14,4,4,15,15
87,15,15,4,4,16,16
88,16,16,4,4,17,17
89,17,17,4,4,18,18
90,0,0,5,5,1,1
91,1,1,5,5,2,2
92,2,2,5,5,3,3
93,3,3,5,5,4,4
94,4,4,5,5,5,5
95,5,5,5,5,6,6
96,6,6,5,5,7,7
97,7,7,5,5,8,8
98,8,8,5,5,9,9
99,9,9,5,5,10,10
100,10,10,5,5,11,11
101,11,11,5,5,12,12
102,12,12,5,5,13,13
103,13,13,5,5,14,14
104,14,14,5,5,15,15
105,15,15,5,5,16,16
106,16,16,5,5,17,17
107,17,17,5,5,18,18
108,0,0,6,6,1,1
109,1,1,6,6,2,2
110,2,2,6,6,3,3
111,3,3,6,6,4,4
112,4,4,6,6,5,5
113,5,5,6,6,6,6
114,6,6,6,6,7,7
115,7,7,6,6,8,8
116,8,8,6,6,9,9
117,9,9,6,6,10,10
118,10,10,6,6,11,11
119,11,11,6,6,12,12
120,12,12,6,6,13,13
121,13,13,6,6,14,14
122,14,14,6,6,15,15
123,15,15,6,6,16,16
124,16,16,6,6,17,17
125,17,17,6,6,18,18
126,0,0,7,7,1,1
127,1,1,7,7,2,2
128,2,2,7,7,3,3
129,3,3,7,7,4,4
130,4,4,7,7,5,5
131,5,5,7,7,6,6
132,6,6,7,7,7,7
133,7,7,7,7,8,8
134,8,8,7,7,9,9
135,9,9,7,7,10,10
136,10,10,7,7,11,11
137,11,11,7,7,12,12
138,12,12,7,7,13,13
139,13,13,7,7,14,14
140,14,14,7,7,15,15
141,15,15,7,7,16,16
142,16,16,7,7,17,17
143,17,17,7,7,18,18
144,0,0,8,8,1,1
145,1,1,8,8,2,2
146,2,2,8,8,3,3
147,3,3,8,8,4,4
148,4,4,8,8,5,5
149,5,5,8,8,6,6
150,6,6,8,8,7,7
151,7,7,8,8,8,8
152,8,8,8,8,9,9
153,9,9,8,8,10,10
154,10,10,8,8,11,11
155,11,11,8,8,12,12
156,12,12,8,8,13,13
157,13,13,8,8,14,14
158,14,14,8,8,15,15
159,15,15,8,8,16,16
160,16,16,8,8,17,17
161,17,17,8,8,18,18
162,0,0,9,9,1,1
163,1,1,9,9,2,2
164,2,2,9,9,3,3
165,3,3,9,9,4,4
166,4,4,9,9,5,5
167,5,5,9,9,6,6
168,6,6,9,9,7,7
169,7,7,9,9,8,8
170,8,8,9,9,9,9
171,9,9,9,9,10,10
172,10,10,9,9,11,11
173,11,11,9,9,12,12
174,12,12,9,9,13,13
175,13,13,9,9,14,14
176,14,14,9,9,15,15
177,15,15,9,9,16,16
178,16,16,9,9,17,17
179,17,17,9,9,18,18
180,0,0,10,10,1,1
181,1,1,10,10,2,2
182,2,2,10,10,3,3
183,3,3,10,10,4,4
184,4,4,10,10,5,5
185,5,5,10,10,6,6
186,6,6,10,10,7,7
187,7,7,10,10,8,8
188,8,8,10,10,9,9
189,9,9,10,10,10,10
190,10,10,10,10,11,11
191,11,11,10,10,12,12
192,12,12,10,10,13,13
193,13,13,10,10,14,14
194,14,14,10,10,15,15
195,15,15,10,10,16,16
196,16,16,10,10,17,17
197,17,17,10,10,18,18
198,0,0,11,11,1,1
199,1,1,11,11,2,2
200,2,2,11,11,3,3
201,3,3,11,11,4,4
202,4,4,11,11,5,5
203,5,5,11,11,6,6
204,6,6,11,11,7,7
205,7,7,11,11,8,8
206,8,8,11,11,9,9
207,9,9,11,11,10,10
208,10,10,11,11,11,11
209,11,11,11,11,12,12
210,12,12,11,11,13,13
211,13,13,11,11,14,14
212,14,14,11,11,15,15
213,15,15,11,11,16,16
214,16,16,11,11,17,17
215,17,17,11,11,18,18
216,0,0,12,12,1,1
217,1,1,12,12,2,2
218,2,2,12,12,3,3
219,3,3,12,12,4,4
220,4,4,12,12,5,5
221,5,5,12,12,6,6
222,6,6,12,12,7,7
223,7,7,12,12,8,8
224,8,8,12,12,9,9
225,9,9,12,12,10,10
226,10,10,12,12,11,11
227,11,11,12,12,12,12
228,12,12,12,12,13,13
229,13,13,12,12,14,14
230,14,14,12,12,15,15
231,15,15,12,12,16,16
232,16,16,12,12,17,17
233,17,17,12,12,18,18
234,0,0,13,13,1,1
235,1,1,13,13,2,2
236,2,2,13,13,3,3
237,3,3,13,13,4,4
238,4,4,13,13,5,5
239,5,5,13,13,6,6
240,6,6,13,13,7,7
241,7,7,13,13,8,8
242,8,8,13,13,9,9
243,9,9,13,13,10,10
244,10,10,13,13,11,11
245,11,11,13,13,12,12
246,12,12,13,13,13,13
247,13,13,13,13,14,14
248,14,14,13,13,15,15
249,15,15,13,13,16,16
250,16,16,13,13,17,17
251,17,17,13,13,18,18
252,0,0,14,14,1,1
253,1,1,14,14,2,2
254,2,2,14,14,3,3
255,3,3,14,14,4,4
256,4,4,14,14,5,5
257,5,5,14,14,6,6
258,6,6,14,14,7,7
259,7,7,14,14,8,8
260,8,8,14,14,9,9
261,9,9,14,14,10,10
262,10,10,14,14,11,11
263,11,11,14,14,12,12
264,12,12,14,14,13,13
265,13,13,14,14,14,14
266,14,14,14,14,15,15
267,15,15,14,14,16,16
268,16,16,14,14,17,17
269,17,17,14,14,18,18
270,0,0,15,15,1,1
271,1,1,15,15,2,2
272,2,2,15,15,3,3
273,3,3,15,15,4,4
274,4,4,15,15,5,5
275,5,5,15,15,6,6
276,6,6,15,15,7,7
277,7,7,15,15,8,8
278,8,8,15,15,9,9
279,9,9,15,15,10,10
280,10,10,15,15,11,11
281,11,11,15,15,12,12
282,12,12,15,15,13,13
283,13,13,15,15,14,14
284,14,14,15,15,15,15
285,15,15,15,15,16,16
286,16,16,15,15,17,17
287,17,17,15,15,18,18
288,0,0,16,16,1,1
289,1,1,16,16,2,2
290,2,2,16,16,3,3
291,3,3,16,16,4,4
292,4,4,16,16,5,5
293,5,5,16,16,6,6
294,6,6,16,16,7,7
295,7,7,16,16,8,8
296,8,8,16,16,9,9
297,9,9,16,16,10,10
298,10,10,16,16,11,11
299,11,11,16,16,12,12
300,12,12,16,16,13,13
301,13,13,16,16,14,14
302,14,14,16,16,15,15
303,15,15,16,16,16,16
304,16,16,16,16,17,17
305,17,17,16,16,18,18
306,0,0,17,17,1,1
307,1,1,17,17,2,2
308,2,2,17,17,3,3
309,3,3,17,17,4,4
310,4,4,17,17,5,5
311,5,5,17,17,6,6
312,6,6,17,17,7,7
313,7,7,17,17,8,8
314,8,8,17,17,9,9
315,9,9,17,17,10,10
316,10,10,17,17,11,11
317,11,11,17,17,12,12
318,12,12,17,17,13,13
319,13,13,17,17,14,14
320,14,14,17,17,15,15
321,15,15,17,17,16,16
322,16,16,17,17,17,17
323,17,17,17,17,18,18
324,0,0,18,18,1,1
325,1,1,18,18,2,2
326,2,2,18,18,3,3
327,3,3,18,18,4,4
328,4,4,18,18,5,5
329,5,5,18,18,6,6
330,6,6,18,18,7,7
331,7,7,18,18,8,8
332,8,8,18,18,9,9
333,9,9,18,18,10,10
334,10,10,18,18,11,11
335,11,11,18,18,12,12
336,12,12,18,18,13,13
337,13,13,18,18,14,14
338,14,14,18,18,15,15
339,15,15,18,18,16,16
340,16,16,18,18,17,17
341,17,17,18,18,18,18
342,0,1,0,0,2,3
343,1,2,0,0,3,4
344,2,3,0,0,4,5
345,3,4,0,0,5,6
346,4,5,0,0,6,7
347,5,6,0,0,7,8
348,6,7,0,0,8,9
349,7,8,0,0,9,10
350,8,9,0,0,10,11
351,9,10,0,0,11,12
352,10,11,0,0,12,13
353,11,12,0,0,13,14
354,12,13,0,0,14,15
355,13,14,0,0,15,16
356,14,15,0,0,16,17
357,15,16,0,0,17,18
358,0,1,1,1,2,3
359,1,2,1,1,3,4
360,2,3,1,1,4,5
361,3,4,1,1,5,6
362,4,5,1,1,6,7
363,5,6,1,1,7,8
364,6,7,1,1,8,9
365,7,8,1,1,9,10
366,8,9,1,1,10,11
367,9,10,1,1,11,12
368,10,11,1,1,12,13
369,11,12,1,1,13,14
370,12,13,1,1,14,15
371,13,14,1,1,15,16
372,14,15,1,1,16,17
373,15,16,1,1,17,18
374,0,1,2,2,2,3
375,1,2,2,2,3,4
376,2,3,2,2,4,5
377,3,4,2,2,5,6
378,4,5,2,2,6,7
379,5,6,2,2,7,8
380,6,7,2,2,8,9
381,7,8,2,2,9,10
382,8,9,2,2,10,11
383,9,10,2,2,11,12
384,10,11,2,2,12,13
385,11,12,2,2,13,14
386,12,13,2,2,14,15
387,13,14,2,2,15,16
388,14,15,2,2,16,17
389,15,16,2,2,17,18
390,0,1,3,3,2,3
391,1,2,3,3,3,4
392,2,3,3,3,4,5
393,3,4,3,3,5,6
394,4,5,3,3,6,7
395,5,6,3,3,7,8
396,6,7,3,3,8,9
397,7,8,3,3,9,10
398,8,9,3,3,10,11
399,9,10,3,3,11,12
400,10,11,3,3,12,13
401,11,12,3,3,13,14
402,12,13,3,3,14,15
403,13,14,3,3,15,16
404,14,15,3,3,16,17
405,15,16,3,3,17,18
406,0,1,4,4,2,3
407,1,2,4,4,3,4
408,2,3,4,4,4,5
409,3,4,4,4,5,6
410,4,5,4,4,6,7
411,5,6,4,4,7,8
412,6,7,4,4,8,9
413,7,8,4,4,9,10
414,8,9,4,4,10,11
415,9,10,4,4,11,12
416,10,11,4,4,12,13
417,11,12,4,4,13,14
418,12,13,4,4,14,15
419,13,14,4,4,15,16
420,14,15,4,4,16,17
421,15,16,4,4,17,18
422,0,1,5,5,2,3
423,1,2,5,5,3,4
424,2,3,5,5,4,5
425,3,4,5,5,5,6
426,4,5,5,5,6,7
427,5,6,5,5,7,8
428,6,7,5,5,8,9
429,7,8,5,5,9,10
430,8,9,5,5,10,11
431,9,10,5,5,11,12
432,10,11,5,5,12,13
433,11,12,5,5,13,14
434,12,13,5,5,14,15
435,13,14,5,5,15,16
436,14,15,5,5,16,17
437,15,16,5,5,17,18
438,0,1,6,6,2,3
439,1,2,6,6,3,4
440,2,3,6,6,4,5
441,3,4,6,6,5,6
442,4,5,6,6,6,7
443,5,6,6,6,7,8
444,6,7,6,6,8,9
445,7,8,6,6,9,10
446,8,9,6,6,10,11
447,9,10,6,6,11,12
448,10,11,6,6,12,13
449,11,12,6,6,13,14
450,12,13,6,6,14,15
451,13,14,6,6,15,16
452,14,15,6,6,16,17
453,15,16,6,6,17,18
454,0,1,7,7,2,3
455,1,2,7,7,3,4
