,K_min,K_max,K_min_middle,K_max_middle,K_min_right,K_max_right,J_min,J_max
0,0,0,1,1,2,2,0,0
1,1,1,2,2,3,3,0,0
2,2,2,3,3,4,4,0,0
3,3,3,4,4,5,5,0,0
4,4,4,5,5,6,6,0,0
5,5,5,6,6,7,7,0,0
6,6,6,7,7,8,8,0,0
7,7,7,8,8,9,9,0,0
8,8,8,9,9,10,10,0,0
9,9,9,10,10,11,11,0,0
10,10,10,11,11,12,12,0,0
11,11,11,12,12,13,13,0,0
12,12,12,13,13,14,14,0,0
13,13,13,14,14,15,15,0,0
14,14,14,15,15,16,16,0,0
15,15,15,16,16,17,17,0,0
16,16,16,17,17,18,18,0,0
17,0,0,1,1,2,2,1,1
18,1,1,2,2,3,3,1,1
19,2,2,3,3,4,4,1,1
20,3,3,4,4,5,5,1,1
21,4,4,5,5,6,6,1,1
22,5,5,6,6,7,7,1,1
23,6,6,7,7,8,8,1,1
24,7,7,8,8,9,9,1,1
25,8,8,9,9,10,10,1,1
26,9,9,10,10,11,11,1,1
27,10,10,11,11,12,12,1,1
28,11,11,12,12,13,13,1,1
29,12,12,13,13,14,14,1,1
30,13,13,14,14,15,15,1,1
31,14,14,15,15,16,16,1,1
32,15,15,16,16,17,17,1,1
33,16,16,17,17,18,18,1,1
34,0,0,1,1,2,2,2,2
35,1,1,2,2,3,3,2,2
36,2,2,3,3,4,4,2,2
37,3,3,4,4,5,5,2,2
38,4,4,5,5,6,6,2,2
39,5,5,6,6,7,7,2,2
40,6,6,7,7,8,8,2,2
41,7,7,8,8,9,9,2,2
42,8,8,9,9,10,10,2,2
43,9,9,10,10,11,11,2,2
44,10,10,11,11,12,12,2,2
45,11,11,12,12,13,13,2,2
46,12,12,13,13,14,14,2,2
47,13,13,14,14,15,15,2,2
48,14,14,15,15,16,16,2,2
49,15,15,16,16,17,17,2,2
50,16,16,17,17,18,18,2,2
51,0,0,1,1,2,2,3,3
52,1,1,2,2,3,3,3,3
53,2,2,3,3,4,4,3,3
54,3,3,4,4,5,5,3,3
55,4,4,5,5,6,6,3,3
56,5,5,6,6,7,7,3,3
57,6,6,7,7,8,8,3,3
58,7,7,8,8,9,9,3,3
59,8,8,9,9,10,10,3,3
60,9,9,10,10,11,11,3,3
61,10,10,11,11,12,12,3,3
62,11,11,12,12,13,13,3,3
63,12,12,13,13,14,14,3,3
64,13,13,14,14,15,15,3,3
65,14,14,15,15,16,16,3,3
66,15,15,16,16,17,17,3,3
67,16,16,17,17,18,18,3,3
68,0,0,1,1,2,2,4,4
69,1,1,2,2,3,3,4,4
70,2,2,3,3,4,4,4,4
71,3,3,4,4,5,5,4,4
72,4,4,5,5,6,6,4,4
73,5,5,6,6,7,7,4,4
74,6,6,7,7,8,8,4,4
75,7,7,8,8,9,9,4,4
76,8,8,9,9,10,10,4,4
77,9,9,10,10,11,11,4,4
78,10,10,11,11,12,12,4,4
79,11,11,12,12,13,13,4,4
80,12,12,13,13,14,14,4,4
81,13,13,14,14,15,15,4,4
82,14,14,15,15,16,16,4,4
83,15,15,16,16,17,17,4,4
