,J_min,J_max,J_min_middle,J_max_middle,J_min_up,J_max_up,K_min,K_max
0,2,2,1,1,0,0,0,0
1,2,2,1,1,0,0,1,1
2,2,2,1,1,0,0,2,2
3,2,2,1,1,0,0,3,3
4,2,2,1,1,0,0,4,4
5,2,2,1,1,0,0,5,5
6,2,2,1,1,0,0,6,6
7,2,2,1,1,0,0,7,7
8,2,2,1,1,0,0,8,8
9,2,2,1,1,0,0,9,9
10,2,2,1,1,0,0,10,10
11,2,2,1,1,0,0,11,11
12,2,2,1,1,0,0,12,12
13,2,2,1,1,0,0,13,13
14,2,2,1,1,0,0,14,14
15,2,2,1,1,0,0,15,15
16,2,2,1,1,0,0,16,16
17,2,2,1,1,0,0,17,17
18,2,2,1,1,0,0,18,18
19,3,3,2,2,1,1,0,0
20,3,3,2,2,1,1,1,1
21,3,3,2,2,1,1,2,2
22,3,3,2,2,1,1,3,3
23,3,3,2,2,1,1,4,4
24,3,3,2,2,1,1,5,5
25,3,3,2,2,1,1,6,6
26,3,3,2,2,1,1,7,7
27,3,3,2,2,1,1,8,8
28,3,3,2,2,1,1,9,9
29,3,3,2,2,1,1,10,10
30,3,3,2,2,1,1,11,11
31,3,3,2,2,1,1,12,12
32,3,3,2,2,1,1,13,13
33,3,3,2,2,1,1,14,14
34,3,3,2,2,1,1,15,15
35,3,3,2,2,1,1,16,16
36,3,3,2,2,1,1,17,17
37,3,3,2,2,1,1,18,18
38,4,4,3,3,2,2,0,0
39,4,4,3,3,2,2,1,1
40,4,4,3,3,2,2,2,2
41,4,4,3,3,2,2,3,3
42,4,4,3,3,2,2,4,4
43,4,4,3,3,2,2,5,5
44,4,4,3,3,2,2,6,6
45,4,4,3,3,2,2,7,7
46,4,4,3,3,2,2,8,8
47,4,4,3,3,2,2,9,9
48,4,4,3,3,2,2,10,10
49,4,4,3,3,2,2,11,11
50,4,4,3,3,2,2,12,12
51,4,4,3,3,2,2,13,13
52,4,4,3,3,2,2,14,14
53,4,4,3,3,2,2,15,15
54,4,4,3,3,2,2,16,16
55,4,4,3,3,2,2,17,17
56,4,4,3,3,2,2,18,18
57,5,5,4,4,3,3,0,0
58,5,5,4,4,3,3,1,1
59,5,5,4,4,3,3,2,2
60,5,5,4,4,3,3,3,3
61,5,5,4,4,3,3,4,4
62,5,5,4,4,3,3,5,5
63,5,5,4,4,3,3,6,6
64,5,5,4,4,3,3,7,7
65,5,5,4,4,3,3,8,8
66,5,5,4,4,3,3,9,9
67,5,5,4,4,3,3,10,10
68,5,5,4,4,3,3,11,11
69,5,5,4,4,3,3,12,12
70,5,5,4,4,3,3,13,13
71,5,5,4,4,3,3,14,14
72,5,5,4,4,3,3,15,15
73,5,5,4,4,3,3,16,16
74,5,5,4,4,3,3,17,17
75,5,5,4,4,3,3,18,18
76,6,6,5,5,4,4,0,0
77,6,6,5,5,4,4,1,1
78,6,6,5,5,4,4,2,2
79,6,6,5,5,4,4,3,3
80,6,6,5,5,4,4,4,4
81,6,6,5,5,4,4,5,5
82,6,6,5,5,4,4,6,6
83,6,6,5,5,4,4,7,7
84,6,6,5,5,4,4,8,8
85,6,6,5,5,4,4,9,9
86,6,6,5,5,4,4,10,10
