,K_min,K_max,J_min,J_max,K_min_right,K_max_right,J_min_up,J_max_up
0,0,0,1,1,1,1,0,0
1,1,1,1,1,2,2,0,0
2,2,2,1,1,3,3,0,0
3,3,3,1,1,4,4,0,0
4,4,4,1,1,5,5,0,0
5,5,5,1,1,6,6,0,0
6,6,6,1,1,7,7,0,0
7,7,7,1,1,8,8,0,0
8,8,8,1,1,9,9,0,0
9,9,9,1,1,10,10,0,0
10,10,10,1,1,11,11,0,0
11,11,11,1,1,12,12,0,0
12,12,12,1,1,13,13,0,0
13,13,13,1,1,14,14,0,0
14,14,14,1,1,15,15,0,0
15,15,15,1,1,16,16,0,0
16,16,16,1,1,17,17,0,0
17,17,17,1,1,18,18,0,0
18,0,0,2,2,1,1,1,1
19,1,1,2,2,2,2,1,1
20,2,2,2,2,3,3,1,1
21,3,3,2,2,4,4,1,1
22,4,4,2,2,5,5,1,1
23,5,5,2,2,6,6,1,1
24,6,6,2,2,7,7,1,1
25,7,7,2,2,8,8,1,1
26,8,8,2,2,9,9,1,1
27,9,9,2,2,10,10,1,1
28,10,10,2,2,11,11,1,1
29,11,11,2,2,12,12,1,1
30,12,12,2,2,13,13,1,1
31,13,13,2,2,14,14,1,1
32,14,14,2,2,15,15,1,1
33,15,15,2,2,16,16,1,1
34,16,16,2,2,17,17,1,1
35,17,17,2,2,18,18,1,1
36,0,0,3,3,1,1,2,2
37,1,1,3,3,2,2,2,2
38,2,2,3,3,3,3,2,2
39,3,3,3,3,4,4,2,2
40,4,4,3,3,5,5,2,2
41,5,5,3,3,6,6,2,2
42,6,6,3,3,7,7,2,2
43,7,7,3,3,8,8,2,2
44,8,8,3,3,9,9,2,2
45,9,9,3,3,10,10,2,2
46,10,10,3,3,11,11,2,2
47,11,11,3,3,12,12,2,2
48,12,12,3,3,13,13,2,2
49,13,13,3,3,14,14,2,2
50,14,14,3,3,15,15,2,2
51,15,15,3,3,16,16,2,2
52,16,16,3,3,17,17,2,2
53,17,17,3,3,18,18,2,2
54,0,0,4,4,1,1,3,3
55,1,1,4,4,2,2,3,3
56,2,2,4,4,3,3,3,3
57,3,3,4,4,4,4,3,3
58,4,4,4,4,5,5,3,3
59,5,5,4,4,6,6,3,3
60,6,6,4,4,7,7,3,3
61,7,7,4,4,8,8,3,3
62,8,8,4,4,9,9,3,3
63,9,9,4,4,10,10,3,3
64,10,10,4,4,11,11,3,3
65,11,11,4,4,12,12,3,3
66,12,12,4,4,13,13,3,3
67,13,13,4,4,14,14,3,3
68,14,14,4,4,15,15,3,3
69,15,15,4,4,16,16,3,3
70,16,16,4,4,17,17,3,3
71,17,17,4,4,18,18,3,3
72,0,0,5,5,1,1,4,4
73,1,1,5,5,2,2,4,4
74,2,2,5,5,3,3,4,4
75,3,3,5,5,4,4,4,4
76,4,4,5,5,5,5,4,4
77,5,5,5,5,6,6,4,4
